Stock Final Price,Stock Total Value,Money,Assets,Savings,Number of Stocks, Minimum Performance, Maximum Performance,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10
 , , , , , , , ,1035.96,1007.87,1240.39,1236.87,1198.31,1067.92,1006.93,945.107,1215.95,1124.02
 , , , , , , , ,1043.18,992.635,1249.71,1251.74,1199.12,1054.69,1004.18,950.457,1216.78,1098.54
 , , , , , , , ,1046.51,978.681,1245.89,1259.39,1213.94,1043.67,1007.28,944.46,1213.13,1100.98
 , , , , , , , ,1055.01,961.999,1245,1262.55,1218.03,1057.24,1013.64,948.75,1220.93,1106.36
 , , , , , , , ,1031.01,976.579,1242.07,1254.11,1229.3,1051.75,1008.49,945.495,1238.49,1099.3
 , , , , , , , ,1040.84,974.441,1251.32,1265.28,1232.19,1064.13,1008.14,944.77,1234.1,1107.67
 , , , , , , , ,1022.38,975.143,1244.73,1256.35,1225.48,1060.47,1020.84,943.507,1225.63,1086.24
 , , , , , , , ,1021.1,980.593,1236.7,1252.59,1225.81,1064.36,1033.02,937.785,1232.09,1106.74
 , , , , , , , ,1031.26,970.861,1236.37,1272.02,1205.98,1074.12,1027.22,939.368,1245.89,1104.88
 , , , , , , , ,1045.79,967.728,1235.54,1270.83,1206.22,1084.39,1039.21,935.726,1252.15,1106.41
 , , , , , , , ,1041.68,984.382,1240.61,1272.9,1213.9,1086.85,1031.68,927.877,1257.75,1109.71
 , , , , , , , ,1033.46,989.66,1244.54,1268.75,1216.31,1102.32,1044.89,943.662,1248.57,1112.87
 , , , , , , , ,1036.85,998.852,1228.02,1281.11,1214.68,1094.18,1044.33,960.542,1243.86,1111.01
 , , , , , , , ,1037.29,998.195,1213.67,1285.9,1218.16,1075.69,1053.8,968.566,1251.45,1099.93
 , , , , , , , ,1016.71,1011.46,1204.38,1273.38,1213.68,1078.27,1042.48,967.698,1260.71,1090.67
 , , , , , , , ,1030.82,1020.65,1218.41,1289.8,1204.03,1080.57,1044.86,970.36,1260.98,1088.97
 , , , , , , , ,1037.7,1038.01,1213.03,1296.53,1202.04,1091.55,1053.72,960.155,1271.53,1086.51
 , , , , , , , ,1054.56,1033.48,1230.21,1269.28,1188.88,1100.5,1049.68,980.564,1270.33,1085.84
 , , , , , , , ,1056.32,1023.72,1226.2,1272.45,1181.85,1095.06,1032.32,982.997,1271.98,1082.45
 , , , , , , , ,1068.96,1014.78,1236.15,1277.9,1205.34,1100.94,1036.32,995.164,1273.14,1084.86
 , , , , , , , ,1061.87,1043.12,1233.61,1282.67,1195.99,1112.72,1035,993.381,1282.83,1082.23
 , , , , , , , ,1066.17,1032.93,1217.17,1271.58,1197.03,1105.02,1023.19,999.231,1266.23,1082.91
 , , , , , , , ,1061.24,1032.51,1227.49,1278.93,1177.75,1096.45,1026.61,1014.49,1262.32,1085.85
 , , , , , , , ,1063.04,1036.53,1227.77,1277.22,1161.03,1080.48,1016.57,998.947,1279.57,1084.58
 , , , , , , , ,1084.59,1037.1,1227.27,1288.34,1166.75,1079.48,1014.32,1009.78,1286.3,1085.97
 , , , , , , , ,1095.79,1052.82,1233,1287.31,1164.03,1085.46,1034.07,1014.78,1296.53,1108.94
 , , , , , , , ,1104.56,1051.59,1230.42,1283.48,1144.63,1081.15,1044.43,1019.4,1304.02,1100.94
